state_key,action_key,action,game,round
"pub_('A',)_priv_('10', 'A')_-5.0_4_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",44,2
"pub_('2', 'A')_priv_('10', 'A')_-11.0_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",44,3
"pub_('2', 'A', 'K')_priv_('A',)_-11.5_Q_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",44,4
"pub_()_priv_('2', '6')_2.0_J_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",45,1
"pub_('J',)_priv_('2', '6')_-8.0_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",45,2
"pub_('J', 'Q')_priv_('2', '6')_-7.5_9_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",45,3
"pub_('9', 'J', 'Q')_priv_('2',)_-0.5_A_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",45,4
"pub_()_priv_('4', '8')_-7.0_9_1",take_discard_1,"{'type': 'take_discard', 'position': 1}",46,1
"pub_('9',)_priv_('4', '8')_-4.5_6_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",46,2
"pub_('6', '9')_priv_('4', '8')_-8.5_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",46,3
"pub_('6', '9', 'K')_priv_('8',)_-8.0_10_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",46,4
"pub_()_priv_('7', '9')_0.0_3_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",47,1
"pub_('3',)_priv_('7', '9')_2.5_A_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",47,2
"pub_('3', 'A')_priv_('7', '9')_-0.5_5_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",47,3
"pub_('3', '5', 'A')_priv_('7',)_-5.5_9_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",47,4
"pub_()_priv_('2', '6')_1.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",48,1
"pub_('A',)_priv_('2', '6')_-0.5_2_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",48,2
"pub_('2', 'A')_priv_('2', '6')_-12.0_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",48,3
"pub_('2', 'A', 'K')_priv_('2',)_-8.5_6_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",48,4
"pub_()_priv_('2', '6')_-8.0_10_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",49,1
"pub_('10',)_priv_('2', '6')_-1.0_2_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",49,2
"pub_('10', '2')_priv_('2', '6')_-12.5_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",49,3
"pub_('10', '2', 'K')_priv_('6',)_-1.0_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",49,4
"pub_()_priv_('5', '6')_2.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",50,1
"pub_('A',)_priv_('5', '6')_-6.5_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",50,2
"pub_('A', 'Q')_priv_('5', '6')_-5.5_8_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",50,3
"pub_('8', 'A', 'Q')_priv_('6',)_2.0_J_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",50,4
"pub_()_priv_('6', '7')_2.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",51,1
"pub_('A',)_priv_('6', '7')_-7.0_K_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",51,2
"pub_('A', 'K')_priv_('6', '7')_-7.0_10_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",51,3
"pub_('10', 'A', 'K')_priv_('7',)_-3.5_6_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",51,4
"pub_()_priv_('2', '8')_-2.0_4_1",take_discard_3,"{'type': 'take_discard', 'position': 3}",52,1
"pub_('4',)_priv_('8',)_2.0_2_2",take_discard_2,"{'type': 'take_discard', 'position': 2}",52,2
"pub_('2', '4')_priv_()_-6.5_10_3",take_discard_0,"{'type': 'take_discard', 'position': 0}",52,3
"pub_('10', '2', '4')_priv_()_-6.5_9_4",take_discard_1,"{'type': 'take_discard', 'position': 1}",52,4
"pub_()_priv_('J', 'K')_-4.0_4_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",53,1
